leaid,lea_name,urban_centric_locale
1808760,Penn-Harris-Madison School Corp,Suburb large
1808820,Perry Township Schools,City large
1808850,Peru Community Schools,Town distant
1808900,Pike County School Corp,Rural distant
1808910,MSD Pike Township,City large
1808940,Pioneer Regional School Corp,Rural distant
1808970,Plainfield Community School Corp,Suburb large
1809000,East Porter County School Corp,Rural fringe
1809060,Plymouth Community School Corp,Town distant
1809120,John Glenn School Corporation,Rural fringe
1809150,Portage Township Schools,Suburb large
1809180,Porter Township School Corp,Rural fringe
1809300,Prairie Heights Community Sch Corp,Rural distant
1809360,West Central School Corp,Rural remote
1809420,Rensselaer Central School Corp,Town distant
1809480,Richland-Bean Blossom C S C,Suburb midsize
1809510,Richmond Community Schools,Town distant
1809600,Rising Sun-Ohio Co Com,Rural distant
1809630,Rochester Community School Corp,Town distant
1809690,Merrillville Community School Corp,Suburb large
1809720,Rossville Con School District,Rural distant
1809750,Rush County Schools,Town distant
1809810,Salem Community Schools,Town distant
1809840,Daleville Community Schools,Suburb small
1809990,Scott County School District 1,Town distant
1810020,Scott County School District 2,Town distant
1810080,Seymour Community Schools,Town distant
1810110,MSD Shakamak Schools,Rural distant
1810140,Shelbyville Central Schools,Town distant
1810170,Shoals Community School Corp,Rural distant
1810230,Smith-Green Community Schools,Rural distant
1810260,South Adams Schools,Town distant
1810290,South Bend Community School Corp,City midsize
1810350,South Gibson School Corporation,Rural distant
1810360,South Harrison Com Schools,Town fringe
1810380,South Henry School Corp,Rural distant
1810410,South Knox School Corp,Rural distant
1810440,South Madison Com Sch Corp,Suburb small
1810450,South Montgomery Com Sch Corp,Rural distant
1810470,South Newton School Corp,Rural remote
1810500,South Putnam Community Schools,Rural distant
1810530,South Ripley Com Sch Corp,Rural distant
1810560,South Spencer County Sch Corp,Rural distant
1810590,South Vermillion Com Sch Corp,Rural fringe
1810620,Southeast Fountain School Corp,Rural distant
1810640,Southeast Dubois Co Sch Corp,Rural distant
1810650,Hamilton Southeastern Schools,Suburb large
1810680,Lewis Cass Schools,Rural distant
1810710,Southern Hancock Co Com Sch Corp,Rural fringe
1810740,Randolph Southern School Corp,Rural distant
1810770,Southern Wells Com Schools,Rural distant
1810800,Southwestern-Jefferson Co Con,Rural fringe
1810830,Southwestern Con Sch Shelby Co,Rural distant
1810860,Southwest School Corporation,Rural fringe
1810870,Southwest Dubois Co Sch Corp,Rural fringe
1810900,Southwest Parke Com Sch Corp,Rural distant
1810920,School Town of Speedway,Suburb large
1810950,Spencer-Owen Community Schools,Rural distant
1810980,Springs Valley Com School Corp,Rural distant
1811100,MSD Steuben County,Rural fringe
1811190,Sunman-Dearborn Com Sch Corp,Rural distant
1811220,Switzerland County School Corp,Rural distant
1811250,Taylor Community School Corp,Rural fringe
1811260,Tell City-Troy Twp School Corp,Rural fringe
1811340,Tippecanoe School Corp,Suburb midsize
1811370,Tippecanoe Valley School Corp,Rural distant
1811400,Tipton Community School Corp,Town fringe
1811430,Tri-County School Corporation,Rural distant
1811460,Tri-Creek School Corporation,Rural fringe
1811490,Triton School Corporation,Rural distant
1811580,Twin Lakes School Corp,Town distant
1811610,Union Co/Clg Corner Joint Sch Dist,Rural distant
1811700,Union Township School Corp,Rural fringe
1811730,Union School Corporation,Rural distant
1811910,Union-North United School Corp,Rural distant
1811970,Valparaiso Community Schools,Suburb large
1812060,Crothersville Community Schools,Rural distant
1812090,Vigo County School Corp,City small
1812120,Vincennes Community School Corp,Town remote
1812150,Wabash City Schools,Town distant
1812180,MSD Wabash County Schools,Rural distant
1812240,Wa-Nee Community Schools,Town fringe
1812360,MSD Warren Township,City large
1812390,Warrick County School Corp,Suburb midsize
1812420,Warsaw Community Schools,Town distant
1812450,Washington Community Schools,Town remote
1812720,MSD Washington Township,City large
1812810,MSD Wayne Township,City large
1812870,West Lafayette Com School Corp,City small
1812880,Frankton-Lapel Community Schools,Rural fringe
1812900,West Noble School Corporation,Rural fringe
1812930,West Washington School Corp,Rural distant
1812990,Western Boone Co Com Sch Dist,Rural distant
1813050,Western Wayne Schools,Town distant
1813080,Westfield-Washington Schools,Suburb large
1813110,Westview School Corporation,Rural distant
1813200,School City of Whiting,Suburb large
1813230,Whitko Community School Corp,Rural distant
1800008,White River Valley School District,Rural distant
1800030,MSD Southwest Allen County Schls,Suburb large
1800060,Adams Central Community Schools,Rural distant
1800107,Tri-Township Cons School Corp,Rural distant
1800118,North Central Parke Comm Schl Corp,Town distant
1800120,Alexandria Community School Corp,Suburb small
1800150,Anderson Community School Corp,City small
1800180,Argos Community Schools,Rural distant
1800210,Attica Consolidated School Corp,Town distant
1800212,Borden-Henryville School Corporation,Rural fringe
1800213,Silver Creek School Corporation,Suburb large
1800240,South Dearborn Community Sch Corp,Rural fringe
1800270,Avon Community School Corp,Suburb large
1800330,Barr-Reeve Community Schools Inc,Rural distant
1800360,Bartholomew Con School Corp,City small
1800390,Batesville Community School Corp,Rural fringe
1800420,Baugo Community Schools,Suburb midsize
1800450,Beech Grove City Schools,Suburb large
1800480,Benton Community School Corp,Rural distant
1800570,Blackford County Schools,Rural fringe
1800600,Bloomfield School District,Town distant
1800630,Monroe County Community Sch Corp,City small
1800660,Blue River Valley Schools,Rural fringe
1800690,North Harrison Com School Corp,Rural fringe
1800720,MSD Bluffton-Harrison,Town distant
1800750,MSD Boone Township,Rural fringe
1800840,Clay Community Schools,Rural fringe
1800900,Bremen Public Schools,Town distant
1800960,Brown County School Corporation,Rural distant
1801020,Brownsburg Community School Corp,Suburb large
1801050,Brownstown Cnt Com Sch Corp,Town distant
1801060,C A Beard Memorial School Corp,Rural fringe
1801170,Cannelton City Schools,Town distant
1801200,Carmel Clay Schools,City small
1801230,Medora Community School Corp,Rural distant
1801290,Carroll Consolidated School Corp,Rural distant
1801410,Caston School Corporation,Rural distant
1801440,Center Grove Community School Corp,Suburb large
1801560,Centerville-Abington Com Schs,Town distant
1801590,DeKalb Co Ctl United Sch Dist,Town fringe
1801710,Central Noble Com School Corp,Rural distant
1801740,Perry Central Com Schools Corp,Rural remote
1801770,Randolph Central School Corp,Town distant
1801890,Clark-Pleasant Community Sch Corp,Suburb large
1801920,Clarksville Community School Corp,Suburb large
1802040,Northwestern School Corp,Rural fringe
1802130,Clinton Central School Corporation,Rural distant
1802160,Clinton Prairie School Corporation,Rural fringe
1802190,South Central Com School Corp,Rural distant
1802220,Cloverdale Community Schools,Rural distant
1802280,Whitley County Con Schools,Rural fringe
1802400,Concord Community Schools,Suburb midsize
1802430,Covington Community School Corp,Town fringe
1802440,Crawford County Community Sch Corp,Rural distant
1802460,Crawfordsville Community Schools,Town distant
1802490,Crown Point Community School Corp,Suburb large
1802520,Culver Community Schools Corp,Rural distant
1802550,Danville Community School Corp,Suburb large
1802610,Decatur County Community Schools,Rural fringe
1802640,MSD Decatur Township,City large
1802660,Delaware Community School Corp,Rural fringe
1802700,Delphi Community School Corp,Rural fringe
1802800,Duneland School Corporation,Suburb large
1802830,Zionsville Community Schools,Suburb large
1802850,East Allen County Schools,Suburb large
1802880,School City of East Chicago,Suburb large
1802910,Lake Station Community Schools,Suburb large
1802940,East Gibson School Corporation,Town distant
1802970,East Noble School Corporation,Town distant
1803000,East Washington School Corp,Rural distant
1803030,Eastbrook Community Sch Corp,Rural distant
1803060,DeKalb Co Eastern Com Sch Dist,Rural fringe
1803090,Eastern Greene Schools,Rural distant
1803120,Eastern Hancock Co Com Sch Corp,Rural distant
1803150,Eastern Howard School Corporation,Town fringe
1803180,Randolph Eastern School Corp,Town distant
1803210,Shelby Eastern Schools,Rural distant
1803240,Edinburgh Community School Corp,Suburb small
1803270,Elkhart Community Schools,City small
1803300,Elwood Community School Corp,Town fringe
1803330,Eminence Community School Corp,Rural distant
1803450,Evansville Vanderburgh School Corp,City midsize
1803480,Fairfield Community Schools,Rural fringe
1803510,Fayette County School Corporation,Town distant
1803570,Flat Rock-Hawcreek School Corp,Rural distant
1803630,Fort Wayne Community Schools,City large
1803660,Community Schools of Frankfort,Rural fringe
1803690,Franklin Community School Corp,Suburb large
1803700,Franklin County Community Sch Corp,Rural distant
1803720,Lanesville Community School Corp,Rural fringe
1803750,Franklin Township Com Sch Corp,City large
1803780,Fremont Community Schools,Rural distant
1803810,Frontier School Corporation,Rural distant
1803840,Garrett-Keyser-Butler Com Sch Corp,Town fringe
1803870,Gary Community School Corp,City small
1803930,Goshen Community Schools,City small
1803940,Greater Clark County Schools,Suburb large
1803960,Greater Jasper Consolidated Schs,Rural fringe
1803990,Greencastle Community School Corp,Town distant
1804050,Greenfield-Central Com Schools,Suburb large
1804080,Greensburg Community Schools,Town distant
1804110,Greenwood Community Sch Corp,Suburb large
1804140,Monroe-Gregg School District,Rural fringe
1804170,Griffith Public Schools,Suburb large
1804230,Hamilton Community Schools,Rural distant
1804260,Hamilton Heights School Corp,Suburb large
1804320,School City of Hammond,Suburb large
1804350,Hanover Community School Corp,Suburb large
1804470,Western School Corporation,Rural fringe
1804500,Wes-Del Community Schools,Rural fringe
1804560,School Town of Highland,Suburb large
1804590,School City of Hobart,Suburb large
1804620,River Forest Community Sch Corp,Suburb large
1804710,Huntington Co Com Sch Corp,Town distant
1804770,Indianapolis Public Schools,City large
1804800,Jac-Cen-Del Community Sch Corp,Rural distant
1804980,Jay School Corporation,Rural fringe
1805190,Jennings County School Corporation,Rural fringe
1805280,Kankakee Valley School Corp,Rural distant
1805340,Knox Community School Corp,Town distant
1805370,Kokomo School Corporation,City small
1805400,Lafayette School Corporation,City small
1805450,Lake Central School Corporation,Suburb large
1805460,Lake Ridge New Tech Schools,Suburb large
1805520,Lakeland School Corporation,Town distant
1805550,Wawasee Community School Corp,Rural fringe
1805580,LaPorte Community School Corp,City small
1805670,MSD Lawrence Township,Suburb large
1805700,Lawrenceburg Community School Corp,Town fringe
1805790,Lebanon Community School Corp,Town fringe
1805880,Liberty-Perry Community Sch Corp,Rural fringe
1805910,Linton-Stockton School Corporation,Town distant
1806030,Logansport Community Sch Corp,Town distant
1806060,Loogootee Community Sch Corp,Rural fringe
1806080,MSD Warren County,Rural distant
1806090,Maconaquah School Corp,Rural fringe
1806120,Madison Consolidated Schools,Town distant
1806240,Madison-Grant United School Corp,Rural fringe
1806270,Manchester Community Schools,Rural fringe
1806390,Marion Community Schools,Town distant
1806480,Sheridan Community Schools,Town fringe
1806510,MSD Martinsville Schools,Town fringe
1806570,Michigan City Area Schools,City small
1806600,Middlebury Community Schools,Rural fringe
1806630,Milan Community Schools,Rural distant
1806660,Mill Creek Community Sch Corp,Rural distant
1806840,School City of Mishawaka,City small
1806870,Mississinewa Community School Corp,Town distant
1806900,Mitchell Community Schools,Town distant
1807020,Cowan Community School Corp,Rural fringe
1807080,Monroe Central School Corp,Rural fringe
1807110,Eastern Pulaski Community Sch Corp,Town distant
1807140,Mooresville Con School Corp,Suburb large
1807230,Yorktown Community Schools,Suburb small
1807260,Mt Vernon Community School Corp,Rural fringe
1807290,MSD Mount Vernon,Town fringe
1807320,Muncie Community Schools,City small
1807350,School Town of Munster,Suburb large
1807380,Nettle Creek School Corporation,Rural distant
1807410,New Albany-Floyd Co Con Sch,Suburb large
1807440,New Castle Community School Corp,Town distant
1807470,MSD of New Durham Township,Town fringe
1807560,New Prairie United School Corp,Rural fringe
1807620,Nineveh-Hensley-Jackson United,Rural distant
1807650,Noblesville Schools,Suburb large
1807680,North Adams Community Schools,Town distant
1807710,North Daviess Com Schools,Rural remote
1807770,North Gibson School Corporation,Rural fringe
1807800,North Judson-San Pierre Sch Corp,Rural distant
1807830,North Knox School Corp,Rural distant
1807860,North Lawrence Com Schools,Rural fringe
1807890,North Miami Community Schools,Rural distant
1807900,North Montgomery Com Sch Corp,Rural distant
1807920,North Newton School Corp,Rural distant
1807950,MSD North Posey Co Schools,Rural distant
1807980,North Putnam Community Schools,Rural distant
1808010,North Spencer County Sch Corp,Rural distant
1808040,Tri-Central Community Schools,Rural fringe
1808070,North Vermillion Com Sch Corp,Rural distant
1808100,North West Hendricks Schools,Rural fringe
1808120,Northeast Dubois Co Sch Corp,Rural distant
1808130,North White School Corp,Rural distant
1808160,Northeast School Corp,Rural distant
1808190,Northeastern Wayne Schools,Rural distant
1808220,Northern Wells Community Schools,Rural distant
1808250,Northwest Allen County Schools,Rural fringe
1808280,Shenandoah School Corporation,Rural distant
1808310,Northwestern Con School Corp,Rural fringe
1808340,Oak Hill United School Corp,Rural distant
1808460,Oregon-Davis School Corp,Rural distant
1808490,Orleans Community Schools,Rural distant
1808640,Paoli Community School Corp,Town distant