corp_id,corp_name,school_id,school_name,grad_rate
15,Adams Central Community Schools,21,Adams Central High School,100.00%
25,North Adams Community Schools,29,Bellmont Senior High School,90.96%
35,South Adams Schools,23,South Adams High School,86.46%
125,MSD Southwest Allen County Schls,47,Homestead High School,94.67%
125,MSD Southwest Allen County Schls,188,eSACS Virtual School,58.82%
225,Northwest Allen County Schools,91,Carroll High School,94.84%
235,Fort Wayne Community Schools,101,North Side High School,85.54%
235,Fort Wayne Community Schools,102,R Nelson Snider High School,95.83%
235,Fort Wayne Community Schools,105,South Side High School,86.04%
235,Fort Wayne Community Schools,177,Wayne High School,90.44%
235,Fort Wayne Community Schools,219,Northrop High School,86.31%
235,Fort Wayne Community Schools,248,Fort Wayne Virtual Academy,80.00%
255,East Allen County Schools,49,Leo Junior/Senior High School,93.52%
255,East Allen County Schools,81,Heritage Jr/Sr High School,83.02%
255,East Allen County Schools,285,Woodlan Jr/Sr High School,89.13%
255,East Allen County Schools,297,New Haven Jr/Sr High School,82.11%
255,East Allen County Schools,394,East Allen University,97.40%
365,Bartholomew Con School Corp,397,Columbus North High School,83.22%
365,Bartholomew Con School Corp,399,Columbus East High School,78.16%
370,Flat Rock-Hawcreek School Corp,410,Hauser Jr-Sr High School,76.40%
395,Benton Community School Corp,445,Benton Central Jr-Sr High School,92.91%
515,Blackford County Schools,489,Blackford Jr-Sr High School,93.81%
615,Western Boone Co Com Sch Dist,539,Western Boone Jr-Sr High School,91.20%
630,Zionsville Community Schools,512,Zionsville Community High School,98.38%
665,Lebanon Community School Corp,553,Lebanon Senior High School,93.56%
670,Brown County School Corporation,573,Brown County High School,88.72%
750,Carroll Consolidated School Corp,621,Carroll Senior High School,94.03%
755,Delphi Community School Corp,637,Delphi Community High School,90.65%
775,Pioneer Regional School Corp,645,Pioneer Jr-Sr High School,97.37%
815,Lewis Cass Schools ,689,Lewis Cass High School,96.59%
875,Logansport Community Sch Corp,701,Logansport Community High School,89.30%
935,Borden-Henryville School Corporation,765,Henryville Jr & Sr High School,81.01%
935,Borden-Henryville School Corporation,813,William W Borden High School,97.73%
945,Silver Creek School Corporation,777,Silver Creek High School,85.85%
1000,Clarksville Community School Corp,833,Clarksville Senior High School,94.06%
1000,Clarksville Community School Corp,1007,Indiana Gateway Digital Academy,42.72%
1010,Greater Clark County Schools,809,New Washington Middle/High School,91.84%
1010,Greater Clark County Schools,821,Charlestown Senior High School,94.34%
1010,Greater Clark County Schools,849,Jeffersonville High School,93.72%
1125,Clay Community Schools,897,Clay City Jr-Sr High School,86.67%
1125,Clay Community Schools,933,Northview High School,79.57%
1150,Clinton Central School Corporation,957,Clinton Central Junior-Senior HS,87.50%
1160,Clinton Prairie School Corporation,977,Clinton Prairie Jr-Sr High School,92.22%
1170,Community Schools of Frankfort,997,Frankfort High School,87.03%
1180,Rossville Con School District,1021,Rossville Middle/Senior High Sch,94.74%
1300,Crawford County Community Sch Corp,1059,Crawford County High School,80.41%
1315,Barr-Reeve Community Schools Inc,1069,Barr Reeve Middle/High School,100.00%
1375,North Daviess Com Schools,1121,North Daviess Jr-Sr High School,96.55%
1405,Washington Community Schools,1125,Washington High School,91.72%
1560,Sunman-Dearborn Com Sch Corp,7213,East Central High School,96.35%
1600,South Dearborn Community Sch Corp,1179,South Dearborn High School,73.06%
1620,Lawrenceburg Community School Corp,1177,Lawrenceburg High School,94.12%
1655,Decatur County Community Schools,1263,South Decatur Jr-Sr High School,81.71%
1655,Decatur County Community Schools,1267,North Decatur Jr-Sr High School,98.53%
1730,Greensburg Community Schools,1268,Greensburg Community High School,97.66%
1805,DeKalb Co Eastern Com Sch Dist,1317,Eastside Junior-Senior High School,97.73%
1820,Garrett-Keyser-Butler Com Sch Corp,1325,Garrett High School,92.55%
1835,DeKalb Co Ctl United Sch Dist,1345,DeKalb High School,87.45%
1875,Delaware Community School Corp,1369,Delta High School,95.54%
1885,Wes-Del Community Schools,1372,Wes-Del Middle/Senior High School,93.98%
1895,Liberty-Perry Community Sch Corp,1375,Wapahani High School,97.59%
1900,Cowan Community School Corp,1386,Cowan High School,98.31%
1910,Yorktown Community Schools,1389,Yorktown High School,94.05%
1940,Daleville Community Schools,1401,Daleville Jr-Sr High School,95.00%
1970,Muncie Community Schools,1421,Muncie Central High School,81.97%
1970,Muncie Community Schools,1524,Youth Opportunity Center,0.00%
2040,Northeast Dubois Co Sch Corp,1545,Northeast Dubois Jr/Sr High School,88.46%
2100,Southeast Dubois Co Sch Corp,1583,Forest Park Jr-Sr High School,97.09%
2110,Southwest Dubois Co Sch Corp,1588,Southridge High School,82.20%
2120,Greater Jasper Consolidated Schs,1593,Jasper High School,93.07%
2155,Fairfield Community Schools,1613,Fairfield Jr-Sr High School,93.55%
2260,Baugo Community Schools,1701,Jimtown High School,90.00%
2270,Concord Community Schools,1715,Concord Community High School,87.77%
2275,Middlebury Community Schools,1733,Northridge High School,85.11%
2285,Wa-Nee Community Schools,1737,North Wood High School,91.51%
2305,Elkhart Community Schools,1754,Elkhart High School,93.79%
2315,Goshen Community Schools,1821,Goshen High School,92.33%
2395,Fayette County School Corporation,1889,Connersville Sr High School,90.72%
2400,New Albany-Floyd Co Con Sch,1925,New Albany Senior High School,93.53%
2400,New Albany-Floyd Co Con Sch,1930,Floyd Central High School,94.23%
2400,New Albany-Floyd Co Con Sch,2408,NAFC Virtual Academy,68.00%
2435,Attica Consolidated School Corp,2053,Attica High School,100.00%
2440,Covington Community School Corp,2005,Covington Community High School,96.10%
2455,Southeast Fountain School Corp,2022,Fountain Central High School,93.33%
2455,Southeast Fountain School Corp,2458,Southeast Fountain Virtual Academy,***
2475,Franklin County Community Sch Corp,2083,Franklin County High,94.92%
2645,Rochester Community School Corp,2173,Rochester Community High School,85.34%
2650,Caston School Corporation,2159,Caston Jr-Sr High School,94.64%
2725,East Gibson School Corporation,2233,Waldo J Wood Memorial High,84.75%
2735,North Gibson School Corporation,2249,Princeton Community High School,81.16%
2765,South Gibson School Corporation,2211,Gibson Southern High School,98.25%
2815,Eastbrook Community Sch Corp,2293,Eastbrook High School,94.57%
2825,Madison-Grant United School Corp,2321,Madison-Grant Jr./Sr. High School,90.11%
2855,Mississinewa Community School Corp,2333,Mississinewa High School,96.62%
2865,Marion Community Schools,2351,Marion High School,84.15%
2920,Bloomfield School District,2419,Bloomfield High School,91.38%
2940,Eastern Greene Schools,2435,Eastern Greene High School,77.38%
2950,Linton-Stockton School Corporation,2437,Linton-Stockton High School,96.15%
2960,MSD Shakamak Schools,2445,Shakamak Jr-Sr High School,96.55%
2980,White River Valley School District,2429,White River Valley High School,94.29%
3005,Hamilton Southeastern Schools,2487,Fishers High School,97.90%
3005,Hamilton Southeastern Schools,2499,Hamilton Southeastern HS,98.02%
3025,Hamilton Heights School Corp,2477,Hamilton Heights High School,95.60%
3030,Westfield-Washington Schools,2493,Westfield High School,97.21%
3055,Sheridan Community Schools,2463,Sheridan High School,93.83%
3060,Carmel Clay Schools,2505,Carmel High School,96.36%
3070,Noblesville Schools,2517,Noblesville High School,97.64%
3115,Southern Hancock Co Com Sch Corp,2565,New Palestine High School,95.79%
3125,Greenfield-Central Com Schools,2595,Greenfield-Central High School,89.76%
3135,Mt Vernon Community School Corp,2569,Mt Vernon High School,93.52%
3145,Eastern Hancock Co Com Sch Corp,2585,Eastern Hancock High School,89.52%
3160,Lanesville Community School Corp,2613,Lanesville Jr-Sr HS,95.16%
3180,North Harrison Com School Corp,2629,North Harrison High School,97.89%
3190,South Harrison Com Schools,2640,Corydon Central High School,92.86%
3190,South Harrison Com Schools,2670,South Central Jr & Sr High School,88.46%
3295,North West Hendricks Schools,2731,Tri-West Senior High School,90.32%
3305,Brownsburg Community School Corp,2709,Brownsburg High School,98.16%
3315,Avon Community School Corp,2737,Avon High School,97.38%
3325,Danville Community School Corp,2741,Danville Community High School,91.71%
3330,Plainfield Community School Corp,2749,Plainfield High School,92.83%
3335,Mill Creek Community Sch Corp,2692,Cascade Senior High School,98.35%
3405,Blue River Valley Schools,2801,Blue River Valley Jr-Sr High Sch,74.47%
3415,South Henry School Corp,2773,Tri Junior-Senior High School,98.18%
3435,Shenandoah School Corporation,2817,Shenandoah High School,94.90%
3445,New Castle Community School Corp,2825,New Castle High School,91.96%
3455,C A Beard Memorial School Corp,2869,Knightstown High School,88.31%
3460,Taylor Community School Corp,2894,Taylor High School,78.48%
3470,Northwestern School Corp,2897,Northwestern Senior High School,98.59%
3480,Eastern Howard School Corporation,2919,Eastern High School,96.15%
3490,Western School Corporation,2921,Western High School,94.09%
3500,Kokomo School Corporation,3013,Kokomo High School,93.20%
3625,Huntington Co Com Sch Corp,3065,Huntington North High School,89.31%
3640,Medora Community School Corp,3093,Medora Jr & Sr High School,80.00%
3675,Seymour Community Schools,3133,Seymour Senior High School,85.84%
3695,Brownstown Cnt Com Sch Corp,3126,Brownstown Central High School,83.56%
3710,Crothersville Community Schools,3121,Crothersville Jr-Sr High School,68.97%
3785,Kankakee Valley School Corp,3181,Kankakee Valley High School,92.28%
3815,Rensselaer Central School Corp,3201,Rensselaer Central High School,93.22%
3945,Jay School Corporation,3239,Jay County Jr/Sr High School,83.70%
3995,Madison Consolidated Schools,3309,Madison Consolidated High School,85.31%
3995,Madison Consolidated Schools,3358,E.O. Muncie Jr/Sr High School,23.08%
4000,Southwestern-Jefferson Co Con,3337,Southwestern High School,89.47%
4015,Jennings County School Corporation,3345,Jennings County High School,79.08%
4145,Clark-Pleasant Community Sch Corp,3421,Whiteland Community High School,90.06%
4205,Center Grove Community School Corp,3437,Center Grove High School,96.39%
4215,Edinburgh Community School Corp,3447,Edinburgh Community High School,91.84%
4225,Franklin Community School Corp,3445,Franklin Community High School,88.66%
4245,Greenwood Community Sch Corp,3473,Greenwood Community High Sch,89.15%
4255,Nineveh-Hensley-Jackson United,3419,Indian Creek Sr High School,91.10%
4315,North Knox School Corp,3537,North Knox Jr-Sr High School,95.29%
4325,South Knox School Corp,3490,South Knox Middle-High School,97.56%
4335,Vincennes Community School Corp,3553,Lincoln High School,97.97%
4335,Vincennes Community School Corp,4319,Washington Learning Academy,40.00%
4345,Wawasee Community School Corp,3639,Wawasee High School,83.04%
4415,Warsaw Community Schools,3647,Warsaw Community High School,95.74%
4445,Tippecanoe Valley School Corp,3602,Tippecanoe Valley High School,93.84%
4455,Whitko Community School Corp,9191,Whitko Jr/Sr High School,88.24%
4515,Prairie Heights Community Sch Corp,3690,Prairie Heights Sr High School,94.95%
4525,Westview School Corporation,3697,Westview Jr-Sr High School,93.10%
4535,Lakeland School Corporation,3730,Lakeland Jr/Sr High School,80.50%
4580,Hanover Community School Corp,3785,Hanover Central High School,90.80%
4590,River Forest Community Sch Corp,3791,River Forest High School,86.36%
4600,Merrillville Community School Corp,3809,Merrillville High School,93.01%
4615,Lake Central School Corporation,3833,Lake Central High School,95.57%
4645,Tri-Creek School Corporation,3865,Lowell Senior High School,96.79%
4650,Lake Ridge New Tech Schools,3869,Calumet New Tech High School,85.31%
4660,Crown Point Community School Corp,3901,Crown Point High School,97.59%
4670,School City of East Chicago,3924,East Chicago Central High School,66.00%
4680,Lake Station Community Schools,3965,Thomas A Edison Jr-Sr HS,92.63%
4690,Gary Community School Corp,4068,Gary Virtual Academy,0.00%
4690,Gary Community School Corp,4163,West Side Leadership Academy,79.38%
4700,Griffith Public Schools,4173,Griffth Jr/Sr High School,84.62%
4710,School City of Hammond,4411,George Rogers Clark Md/HS,9.52%
4710,School City of Hammond,4413,Donald E Gavit Middle/High School,44.74%
4710,School City of Hammond,4415,Hammond Central High School,75.78%
4710,School City of Hammond,4417,Morton Senior High School,60.48%
4720,School Town of Highland,4281,Highland High School,93.89%
4730,School City of Hobart,4305,Hobart High School,91.13%
4740,School Town of Munster,4332,Munster High School,96.73%
4760,School City of Whiting,4353,Whiting High School,78.74%
4805,New Prairie United School Corp,4689,New Prairie High School,97.15%
4860,MSD of New Durham Township,4701,Westville High School,93.06%
4915,Tri-Township Cons School Corp,4692,Tri-Township Jr.-Sr. High School,96.55%
4925,Michigan City Area Schools,4795,Michigan City High School,83.69%
4940,South Central Com School Corp,4737,South Central Jr-Sr High School,98.77%
4945,LaPorte Community School Corp,4741,LaPorte High School,84.21%
5075,North Lawrence Com Schools,4911,Bedford-North Lawrence High School,85.32%
5085,Mitchell Community Schools,4925,Mitchell High School,78.57%
5245,Frankton-Lapel Community Schools,5005,Frankton Jr-Sr High School,91.73%
5245,Frankton-Lapel Community Schools,5011,Lapel Sr High School,93.75%
5255,South Madison Com Sch Corp,5053,Pendleton Heights High School,94.96%
5265,Alexandria Community School Corp,5041,Alexandria-Monroe High School,94.12%
5275,Anderson Community School Corp,4945,Anderson High School,81.38%
5280,Elwood Community School Corp,5149,Elwood Jr-Sr High School,92.59%
5300,MSD Decatur Township,5177,Decatur Central High School,91.87%
5310,Franklin Township Com Sch Corp,5193,Franklin Central High School,97.18%
5330,MSD Lawrence Township,5275,Lawrence Central High School,91.86%
5330,MSD Lawrence Township,5276,Lawrence North High School,93.18%
5340,Perry Township Schools,5307,Perry Meridian High School,95.44%
5340,Perry Township Schools,5309,Southport High School,89.95%
5350,MSD Pike Township,5353,Pike High School,87.91%
5360,MSD Warren Township,5361,Warren Central High School,82.92%
5370,MSD Washington Township,5451,North Central High School,90.40%
5375,MSD Wayne Township,5213,Ben Davis High School,84.94%
5375,MSD Wayne Township,5288,Achieve Virtual Education Academy,43.93%
5375,MSD Wayne Township,5447,Ben Davis University High School,100.00%
5380,Beech Grove City Schools,5449,Beech Grove Sr High School,80.35%
5385,Indianapolis Public Schools,108,Impact Academy 1,0.00%
5385,Indianapolis Public Schools,112,Impact Academy 2,***
5385,Indianapolis Public Schools,113,Impact Academy 3,***
5385,Indianapolis Public Schools,5462,Arsenal Technical High School,80.21%
5385,Indianapolis Public Schools,5474,Crispus Attucks High School,83.11%
5385,Indianapolis Public Schools,5482,Emmerich Manual High School,78.63%
